id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
29555,214fda23-8970-4fa7-9aac-98a26832b590,2011-08-24,2011-08-24,,Paris,2479,naturalist,"",2011-08-29 20:39:03 UTC,2023-04-17 16:58:47 UTC,research,,http://www.inaturalist.org/observations/29555,https://static.inaturalist.org/photos/51793/medium.JPG,,"",from under the surface,1,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
267843,305ae372-c6a1-45e8-9841-aa5df081c6ac,2013-05-14,2013-05-14,,London,2991,sea-kangaroo,"",2013-05-14 22:01:11 UTC,2021-05-16 17:02:39 UTC,research,CC-BY,http://www.inaturalist.org/observations/267843,https://inaturalist-open-data.s3.amazonaws.com/photos/350253/medium.JPG,,"male, female",Human-friendly pair in the river.,3,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
373196,7dcdfbb5-a317-4b7f-8433-d4088a25f022,2013-08-13 13:56:44,2013-08-13,2013-08-13 11:56:44 UTC,Rome,13082,marcello,Marcello Consolo,2013-08-22 09:07:56 UTC,2023-12-22 20:36:22 UTC,research,CC-BY,http://www.inaturalist.org/observations/373196,https://inaturalist-open-data.s3.amazonaws.com/photos/466705/medium.jpg,,"","",12,1,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
2636254,14479e65-41d9-4694-9ec7-672d7f604088,2016-01-25,2016-01-25,,Rome,51288,scubale,Alessandra Boccabianca,2016-02-01 11:18:03 UTC,2022-03-15 15:20:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2636254,https://static.inaturalist.org/photos/2955697/medium.JPG,,"germano reale, Wild Mallard","",3,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
2904490,47298755-6ea0-4456-9e3b-f6d5b1e4aa53,2016-04-09 08:15:56,2016-04-09,2016-04-09 07:15:56 UTC,London,97542,paulcools,Paul Cools,2016-04-09 13:39:23 UTC,2025-04-17 08:30:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2904490,https://inaturalist-open-data.s3.amazonaws.com/photos/3322599/medium.jpg,,"",,6,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
3508390,7568e0c4-0228-4e33-a79f-6639e5e68c92,Thu Jun 23 2016 13:12:01 GMT+0200 (GMT+2),2016-06-23,2016-06-23 11:12:01 UTC,Pretoria,137919,sofia-b,"",2016-06-23 18:13:19 UTC,2023-12-04 11:52:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3508390,https://inaturalist-open-data.s3.amazonaws.com/photos/4083732/medium.jpg,,"",,2,0,false,3,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
3714323,ebfb1edb-3b6f-4ebd-9a44-0db8101e05c5,Thu Jul 21 2016 16:05:24 GMT+0200 (GMT+2),2016-07-21,2016-07-21 14:05:24 UTC,Pretoria,206148,teresaurrutia,Teresa Urrutia,2016-07-21 14:34:20 UTC,2023-04-23 03:11:51 UTC,research,,http://www.inaturalist.org/observations/3714323,https://static.inaturalist.org/photos/4316145/medium.jpeg,,"",,3,0,false,3,Mallard,Anas platyrhynchos,Кряква,Aves,6930
5516547,3f21771e-0945-4742-af05-5a1534e934f2,2017-03-31 10:20:51 AM CEST,2017-03-31,2017-03-31 08:20:51 UTC,Paris,428033,montale,"",2017-03-31 08:55:48 UTC,2023-12-06 15:08:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5516547,https://inaturalist-open-data.s3.amazonaws.com/photos/6804079/medium.jpeg,,"",,4,0,false,2,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
7614387,a757cd2d-b58e-4d91-b3ea-57c7affb6cf4,2017-08-23 10:49:14 AM CEST,2017-08-23,2017-08-23 08:49:14 UTC,Paris,575857,lorisroberto,"",2017-08-23 08:50:26 UTC,2021-04-25 07:06:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7614387,https://inaturalist-open-data.s3.amazonaws.com/photos/9953302/medium.jpeg,,"",,2,0,false,2,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
8758908,c030e360-9d53-44a3-a8a2-7d0196a56be5,Sat Nov 11 2017 09:41:47 GMT+0100 (GMT+1),2017-11-11,2017-11-11 08:41:47 UTC,Amsterdam,703025,absynthe,,2017-11-11 08:42:01 UTC,2019-05-06 11:07:00 UTC,research,,https://www.inaturalist.org/observations/8758908,https://static.inaturalist.org/photos/11762176/medium.jpg,,"",,2,0,false,3,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
